Normalized Expected Data,
0.0100380128,
0.03083809179,
0.03082163603,
0.03068998996,
0.07034836841,
0.04011913969,
0.2241274334,
1,
0.07138508121,
0.0661686057,
0.09585479439,
0,
0.2878276753,
0.07061166055,
0.07350787408,
0.03732166072,
0.02228109727,
0.02313679672,
0.01795323273,
0.01997729105,
0.1476904343,
0.04336092416,
0.2713390051,
0.09937632675,
0.05198374171,
0.06514834866,
0.06695848212,
0.04260395926,
0.4194408333
