Normalized Observed Data (Stanley),
0.01256661208,
0.0709483073,
0.07103833707,
0.06958223129,
0.137879329,
0.07343813431,
0.2743895448,
0.1117451151,
0.2161383289,
0.1342439392,
0,
0.1654147575,
0.1038716702,
0.07608653874,
0.04225390384,
0.03710987274,
0.04751471017,
0.04196294344,
0.1877212516,
0.07004190613,
0.3881110747,
0.1492080964,
0.1187115311,
0.1563426528,
0.1024664149,
0.04368518808,
1
