Normalized Expected Data,
0.02393189219,
0.07352191141,
0.0734826788,
0.07316881792,
0.1677194084,
0.09564910353,
0.5343481502,
0.1701910628,
0.1577543254,
0.2285299541,
0,
0.1683471301,
0.1752520695,
0.08897955981,
0.05312095414,
0.05516104986,
0.04280277767,
0.04762838872,
0.3521126761,
0.1033779277,
0.6469065087,
0.2369257327,
0.1239358154,
0.1553219036,
0.1596374907,
0.1015732277,
1
