Normalized CIFAR,
0.1021684377,
0.3578800516,
0.3571302993,
0.3421898797,
0.0003801915701,
0.0001002199767,
0.4144054162,
0.00007127743129,
0.9491309089,
0.001359145252,
0.4612176143,
0.003368637648,
0.9999999996,
0.7349363126,
0.4124836946,
0.4118589098,
0.5214937396,
0,
0.8078193837
0.7779666193
0.0004410644732
0.5424571059
0.4339231039
0.0002565368838
0.2915687869
0.4081254497
