Normalized MNIST Original,
0,
0.05912469229,
0.05921586783,
0.05774123086,
0.1269075144,
0.06164620618,
0.2651550332,
0.1004407024,
0.2061624808,
0.1232258587,
0.1547933737,
0.09246705572,
0.06432831565,
0.03006510832,
0.02485561149,
0.03539286651,
0.029770445,
0.1773837524,
0.05820675577,
0.3803238449,
0.1383804579,
0.1074957767,
0.1456058125,
0.09104391641,
0.03151460785,
1
