Normalized Observed Data (Ayesha),
0.01473688941,
0.1278586118,
0.1374064507,
0.1362602326,
0.1601500159,
0.06186944839,
0.2792973701,
1,
0.1581401848,
0.01294471683,
0.1602563878,
0.002299808531,
0,
0.2129922507,
0.06782732514,
-0.002630158069,
0.0446056132,
0.03697562716,
0.04946045249,
0.04233073009,
0.1735742837,
0.3006208886,
0.3301961244,
0.09671693643,
0.1503241357,
0.2083617401,
0.07803094824,
0.07304972656,
0.8923046462
